owner_id,binding_role,language,path,line_start,line_end,bytes,sha256,span_sha256,span_hash_algorithm
urn:uuid:a2153c34-69bb-59da-9a61-a0d736c5e9fb,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter2.tex,564,677,139983,56496e557f6f05efdb825be000f688a904b1d1f44a752ebecac517d0a4ba1840,b9c84bf31468f78576a80b096871d72fd6d109742b2f816c36724cac467f1239,sha256-utf8-lines-lf-v1
urn:uuid:a2153c34-69bb-59da-9a61-a0d736c5e9fb,target,id-ID,repo/source/chapter2.tex,564,677,155822,bcf19c8d261947fa619c0257351c29217f401bc1c9453ad91286ff96c1bd69a5,26a2e9a638fae91a1108c9a263a89b64b71ba5d351cae1bfae72eef6eba0649b,sha256-utf8-lines-lf-v1
urn:uuid:a82f5ccf-b1db-57ec-8e27-b13ef9117bff,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter2.tex,580,580,139983,56496e557f6f05efdb825be000f688a904b1d1f44a752ebecac517d0a4ba1840,132c25a252dd97d38a13d9813b7486323fa3f45dbed03048ca1c6a1a9451aa33,sha256-utf8-lines-lf-v1
urn:uuid:a82f5ccf-b1db-57ec-8e27-b13ef9117bff,target,id-ID,repo/source/chapter2.tex,580,580,155822,bcf19c8d261947fa619c0257351c29217f401bc1c9453ad91286ff96c1bd69a5,1ddacb5011b28ba69fc46f83a55c30b15c0173d863f16754cc0345bf271a342f,sha256-utf8-lines-lf-v1
urn:uuid:b034fb03-3609-5655-aeec-e0c8ed3f2faf,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter2.tex,654,654,139983,56496e557f6f05efdb825be000f688a904b1d1f44a752ebecac517d0a4ba1840,1cdcd5579bb00b168e447d2fbe5d5e375d118043fc366c40adca16c543c306ab,sha256-utf8-lines-lf-v1
urn:uuid:b034fb03-3609-5655-aeec-e0c8ed3f2faf,target,id-ID,repo/source/chapter2.tex,654,654,155822,bcf19c8d261947fa619c0257351c29217f401bc1c9453ad91286ff96c1bd69a5,e289551c37e6f5f7401bb5c8eccc808d65634ed2510bdb1f3aaa99c834547587,sha256-utf8-lines-lf-v1
urn:uuid:b309ee2c-bbcd-5f0e-8eb5-aafebfe89e23,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter2.tex,587,591,139983,56496e557f6f05efdb825be000f688a904b1d1f44a752ebecac517d0a4ba1840,0195668e3be1526345b3f20cd5525b10abf02602becc4ed7a192243708154e27,sha256-utf8-lines-lf-v1
urn:uuid:b309ee2c-bbcd-5f0e-8eb5-aafebfe89e23,target,id-ID,repo/source/chapter2.tex,587,591,155822,bcf19c8d261947fa619c0257351c29217f401bc1c9453ad91286ff96c1bd69a5,0195668e3be1526345b3f20cd5525b10abf02602becc4ed7a192243708154e27,sha256-utf8-lines-lf-v1
urn:uuid:b9f7a7a7-8e18-507a-b72e-b5de733a7430,rights-component,,repo/fonts/NotoSansCJKsc-Black.otf,,,17797908,2267c4a0312d267dff8c0d1609948f7d949a3da8be3e126f5e2690cb9cc883b4,,
urn:uuid:b9f7a7a7-8e18-507a-b72e-b5de733a7430,rights-component,,repo/fonts/NotoSansCJKsc-Medium.otf,,,16523632,ca094f6b0001fb048ca39ddd797a0cdb0179e1e55c6561e111c49c3e6a61d7b7,,
